year_MENTIONS	ISO	GLOBALEVENTID
2015	AUT	686
2015	BEL	63
2015	BGR	172
2015	CHE	860
2015	CYP	29
2015	CZE	1141
2015	DEU	1802
2015	DNK	30
2015	ESP	134
2015	EST	285
2015	FIN	137
2015	FRA	383
2015	GBR	20475
2015	GRC	636
2015	HUN	422
2015	IRL	2310
2015	ISL	128
2015	ITA	976
2015	LTU	320
2015	LUX	291
2015	LVA	59
2015	MLT	556
2015	NLD	517
2015	NOR	299
2015	POL	301
2015	ROU	283
2015	SVK	281
2015	SVN	79
2015	SWE	607
2016	AUT	1053
2016	BEL	45
2016	BGR	109
2016	CHE	860
2016	CYP	72
2016	CZE	411
2016	DEU	1471
2016	DNK	38
2016	ESP	94
2016	EST	137
2016	FIN	147
2016	FRA	324
2016	GBR	32680
2016	GRC	1896
2016	HRV	110
2016	HUN	193
2016	IRL	1760
2016	ISL	52
2016	ITA	552
2016	LTU	63
2016	LUX	179
2016	LVA	22
2016	MLT	357
2016	NLD	280
2016	NOR	154
2016	POL	340
2016	PRT	5
2016	ROU	128
2016	SVK	42
2016	SVN	88
2016	SWE	298
2017	AUT	38
2017	BEL	33
2017	BGR	24
2017	CHE	317
2017	CZE	148
2017	DEU	505
2017	DNK	13
2017	ESP	42
2017	EST	37
2017	FIN	34
2017	FRA	105
2017	GBR	11266
2017	GRC	394
2017	HUN	85
2017	IRL	853
2017	ISL	42
2017	ITA	240
2017	LTU	5
2017	LUX	17
2017	LVA	2
2017	MLT	144
2017	NLD	80
2017	NOR	115
2017	POL	350
2017	PRT	4
2017	ROU	60
2017	SVK	37
2017	SVN	30
2017	SWE	102
